code,name,avg_roe,avg_margin,avg_net_margin,ocf_ni,years,score
300059,东方财富,15.0,86.2,240.8,1.22,5,122.3
002497,雅化集团,15.5,26.4,12.0,5.05,5,93.5
600132,重庆啤酒,75.6,50.0,17.4,2.55,5,88.7
300641,正丹股份,17.5,20.5,15.0,4.52,5,85.4
600769,祥龙电业,14.0,31.0,18.5,4.13,5,82.4
603300,海南华铁,13.0,45.9,16.7,3.79,5,80.8
300343,联创股份,15.4,27.9,11.8,4.15,5,80.3
300861,美畅股份,17.4,40.4,26.9,3.43,5,78.6
002466,天齐锂业,20.5,63.5,40.6,2.47,5,76.5
000915,华特达因,19.4,80.6,43.2,2.09,5,76.3
600455,博通股份,13.5,52.0,16.8,3.35,5,76.3
300896,爱美客,23.9,94.2,62.8,1.08,5,72.8
600930,华电新能,12.2,49.5,31.2,2.8,5,71.0
300033,同花顺,28.5,90.2,47.6,1.15,5,69.9
600519,贵州茅台,32.6,91.7,52.1,0.9,5,69.7
603444,吉比特,29.5,88.8,35.4,1.36,5,69.4
002432,九安医疗,41.2,68.2,75.8,0.64,5,69.3
000792,盐湖股份,44.0,60.9,46.6,1.29,5,69.2
603619,中曼石油,18.5,42.8,14.7,2.95,5,68.9
002027,分众传媒,24.9,65.9,35.2,1.86,5,68.1
002572,索菲亚,14.6,34.7,9.2,3.25,5,67.8
001248,华润新能源,15.0,58.0,35.7,2.24,5,67.7
605098,行动教育,22.4,77.5,32.7,1.66,5,67.0
000661,长春高新,17.9,85.9,24.5,1.79,5,67.0
600211,西藏药业,20.4,93.5,23.8,1.56,5,66.7
603501,豪威集团,14.4,29.4,10.6,3.25,5,66.6
603939,益丰药房,14.8,39.5,7.0,3.08,5,66.0
600236,桂冠电力,13.4,43.4,26.7,2.64,5,66.0
603551,奥普科技,15.8,45.0,12.4,2.79,5,65.4
000858,五 粮 液,21.2,76.2,34.6,1.56,5,65.2
300622,博士眼镜,15.1,62.4,9.8,2.49,5,65.1
000568,泸州老窖,30.5,87.0,41.9,0.93,5,64.8
000408,藏格矿业,27.6,62.0,72.0,0.83,5,63.7
600809,山西汾酒,40.6,75.3,31.3,1.03,5,63.6
300529,健帆生物,24.0,81.4,31.8,1.33,5,63.5
002315,焦点科技,16.3,78.9,23.3,1.74,5,63.3
600925,苏能股份,16.1,36.4,15.1,2.76,5,63.2
603393,新天然气,18.7,48.2,37.6,2.0,5,63.2
000426,兴业银锡,13.0,53.4,22.4,2.33,5,63.0
000048,京基智农,24.6,33.0,11.1,2.66,5,62.9
300573,兴齐眼药,22.9,78.7,19.8,1.6,5,62.7
301696,三瑞智能,47.5,57.1,35.8,1.03,4,62.3
600900,长江电力,14.4,59.6,40.9,1.75,5,62.1
300357,我武生物,16.9,95.4,36.1,1.05,5,62.0
300653,正海生物,17.6,88.2,38.2,1.1,5,61.5
603392,万泰生物,23.8,75.3,16.9,1.63,5,61.5
603207,小方制药,40.0,63.7,39.1,0.97,5,61.4
301365,矩阵股份,14.8,40.6,13.4,2.62,5,61.4
603132,金徽股份,16.0,64.1,32.8,1.72,5,61.2
002818,富森美,12.9,67.9,53.2,1.31,5,61.1
600546,山煤国际,29.1,37.9,15.4,2.23,5,61.1
002517,恺英网络,24.7,78.3,35.3,1.13,5,60.9
600452,涪陵电力,12.1,21.2,15.6,3.0,5,60.9
300841,康华生物,18.0,93.4,36.9,0.96,5,60.7
301109,军信股份,12.4,48.7,32.5,2.07,5,60.3
600840,新湖创业,34.5,41.9,23.4,1.79,5,60.3
605499,东鹏饮料,40.5,43.9,18.9,1.66,5,59.9
301071,力量钻石,18.8,46.0,38.8,1.79,5,59.8
300009,安科生物,18.4,78.0,25.5,1.41,5,59.5
300595,欧普康视,18.5,74.9,39.4,1.19,5,59.5
000933,神火股份,33.4,27.6,14.1,2.22,5,59.2
000983,山西焦煤,17.5,34.3,11.9,2.54,5,59.0
605117,德业股份,37.1,35.7,23.1,1.76,5,58.9
002978,安宁股份,18.4,67.7,49.8,1.08,5,58.9
001337,四川黄金,23.5,53.5,37.8,1.47,5,58.9
603886,元祖股份,16.0,61.9,10.3,2.03,5,58.5
301392,汇成真空,15.8,30.0,11.8,2.63,5,58.3
600285,羚锐制药,21.0,75.1,17.3,1.48,5,58.3
605028,世茂能源,16.9,61.9,48.9,1.22,5,58.3
600938,中国海油,19.2,51.7,31.1,1.71,5,58.2
300628,亿联网络,28.8,63.8,45.1,0.92,5,58.0
301513,尚水智能,49.5,49.0,23.6,1.1,5,58.0
601699,潞安环能,16.0,44.4,15.1,2.25,5,58.0
600779,水井坊,31.6,83.0,23.3,0.87,5,57.6
300760,迈瑞医疗,30.6,63.8,30.8,1.13,5,57.5
002107,沃华医药,12.1,75.0,9.3,1.82,5,57.4
002192,融捷股份,33.6,46.7,37.8,1.22,5,57.2
601001,晋控煤业,23.6,49.2,27.2,1.64,5,56.9
300750,宁德时代,23.9,24.0,13.7,2.4,5,56.8
