code,name,avg_roe,avg_margin,avg_net_margin,ocf_ni,years,score
300343,联创股份,15.4,27.9,11.8,4.15,5,80.3
000915,华特达因,19.4,80.6,43.2,2.09,5,76.3
605098,行动教育,22.4,77.5,32.7,1.66,5,67.0
000661,长春高新,17.9,85.9,24.5,1.79,5,67.0
600211,西藏药业,20.4,93.5,23.8,1.56,5,66.7
300529,健帆生物,24.0,81.4,31.8,1.33,5,63.5
300573,兴齐眼药,22.9,78.7,19.8,1.6,5,62.7
300357,我武生物,16.9,95.4,36.1,1.05,5,62.0
300653,正海生物,17.6,88.2,38.2,1.1,5,61.5
603207,小方制药,40.0,63.7,39.1,0.97,5,61.4
300841,康华生物,18.0,93.4,36.9,0.96,5,60.7
605499,东鹏饮料,40.5,43.9,18.9,1.66,5,59.9
300009,安科生物,18.4,78.0,25.5,1.41,5,59.5
300595,欧普康视,18.5,74.9,39.4,1.19,5,59.5
605117,德业股份,37.1,35.7,23.1,1.76,5,58.9
603886,元祖股份,16.0,61.9,10.3,2.03,5,58.5
301392,汇成真空,15.8,30.0,11.8,2.63,5,58.3
002107,沃华医药,12.1,75.0,9.3,1.82,5,57.4
601001,晋控煤业,23.6,49.2,27.2,1.64,5,56.9
001229,魅视科技,15.0,74.1,39.3,1.08,5,56.3
002773,康弘药业,12.5,89.4,22.9,1.17,5,56.3
300685,艾德生物,17.4,83.6,27.1,1.06,5,56.1
002287,奇正藏药,16.8,83.7,28.6,1.02,5,55.7
300015,爱尔眼科,18.3,49.7,16.9,1.89,5,55.6
001237,惠康科技,58.4,23.1,12.9,1.42,4,55.5
300705,九典制药,20.4,75.9,14.1,1.33,5,55.1
603387,基蛋生物,14.0,67.4,23.5,1.46,5,54.8
605369,拱东医疗,13.3,35.4,15.9,2.23,5,54.2
603039,泛微网络,12.3,93.9,10.7,1.19,5,54.2
600276,恒瑞医药,13.0,85.2,20.2,1.12,5,53.6
002568,百润股份,16.6,67.0,23.1,1.31,5,53.3
000513,丽珠集团,14.3,65.0,17.3,1.44,5,52.1
603658,安图生物,14.2,63.1,26.6,1.27,5,51.7
600867,通化东宝,16.3,76.9,34.7,0.74,5,51.1
300957,贝泰妮,14.8,74.7,14.9,1.22,5,51.1
601089,福元医药,18.2,67.4,13.5,1.26,5,50.4
600763,通策医疗,16.9,40.5,22.3,1.61,5,49.7
301528,多浦乐,13.8,73.4,37.0,0.68,5,48.9
002262,恩华药业,16.6,74.4,19.8,0.92,5,48.7
603998,方盛制药,14.5,68.6,12.5,1.24,5,48.7
000999,华润三九,15.7,54.6,13.4,1.47,5,48.7
300002,神州泰岳,14.2,60.8,14.0,1.35,5,48.4
300759,康龙化成,14.0,35.5,14.7,1.85,5,48.3
300763,锦浪科技,17.2,32.1,13.3,1.85,5,48.2
603435,嘉德利,25.1,45.9,31.6,0.97,4,47.9
603375,盛景微,21.1,39.8,14.9,1.48,5,47.1
002138,顺络电子,12.8,35.3,15.7,1.77,5,47.0
603203,快克智能,16.4,49.4,24.8,1.12,5,45.6
300206,理邦仪器,12.2,57.2,12.6,1.32,5,45.6
